incidentnum,signal,offincident,premise,incident_address,reporteddate,mo,crime_category,geocoded_column/latitude,geocoded_column/longitude,geocoded_column/human_address,Dallas_Index,Zillow_Index,Distance,zpid,Status Type,Status Text,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address_consolidated,Street,City,State,Zipcode,Latitude_consolidated,Longitude_consolidated,is zillow owned,Image URL,Detail URL,Search Page URL,Time On Zillow (days),Calculated Price Per Sqft
167903-2023,58 - ROUTINE INVESTIGATION,PUBLIC INTOXICATION,Other,2511 SWISS AVE,9/18/2023 0:20,SUSP WAS INTOXICATED IN A PUBLIC PLACE AND CAUSED A DISTURBANCE,PUBLIC INTOXICATION,32.78608,-96.7897,"{""address"": ""2511 SWISS AVE"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75204""}",0,159,0.133099,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
167384-2023,58 - ROUTINE INVESTIGATION,DWI,"Highway, Street, Alley ETC",2600 ELM ST,9/17/2023 6:33,AP WAS OPERATING A MOTOR VEHICLE WHILE INTOXICATED IN PUBLIC,DRIVING UNDER THE INFLUENCE,32.78405,-96.7864,"{""address"": ""2600 ELM ST"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",21,159,0.508533,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
167384-2023,58 - ROUTINE INVESTIGATION,TRAFFIC VIOLATION - NON HAZARDOUS,"Highway, Street, Alley ETC",2600 ELM ST,9/17/2023 6:33,AP WAS IN POSSESSION OF FAKE DRIVERS LICENSE,MISCELLANEOUS,32.78405,-96.7864,"{""address"": ""2600 ELM ST"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",97,159,0.508533,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
167792-2023,15 - ASSIST OFFICER,DIVERSION PUBLIC INTOX,"Highway, Street, Alley ETC",2900 ELM ST,9/17/2023 19:33,AP WAS INTOXICATED IN A PUBLIC AREA,,32.78486,-96.7824,"{""address"": ""2900 ELM ST"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",106,159,0.808603,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
167370-2023,58 - ROUTINE INVESTIGATION,DISORDERLY CONDUCT,"Highway, Street, Alley ETC",2900 MAIN ST,9/17/2023 2:44,DISORDERLY CONDUCT CITATION #C22122727,DISORDERLY CONDUCT,32.78399,-96.7819,"{""address"": ""2900 MAIN ST"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",150,159,0.885198,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
166959-2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Hotel/Motel/ETC,400 OLIVE ST,9/16/2023 11:55,UNK SUSP TOOK COMPS VEH WITHOUT PERM,MOTOR VEHICLE THEFT,32.78509,-96.7948,"{""address"": ""400 OLIVE ST"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75201""}",218,159,0.435838,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
167204-2023,55 - TRAFFIC STOP,POSS MARIJUANA <2OZ,"Highway, Street, Alley ETC",100 N MALCOLM X BLVD,9/16/2023 21:29,AP WAS IN POSS OF MARIJUANA,DRUG/ NARCOTIC VIOLATIONS,32.78425,-96.7821,"{""address"": ""100 N MALCOLM X BLVD"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",231,159,0.853767,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
166717-2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL,Apartment Residence,2639 ELM ST,9/16/2023 0:20,SUSPS PUSHED COMP AND TOOK FIREARMS FROM RESIDENCE,ROBBERY,32.78463,-96.785,"{""address"": ""2639 ELM ST"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",251,159,0.591818,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
167204-2023,55 - TRAFFIC STOP,UNLAWFUL CARRYING WEAPON,"Highway, Street, Alley ETC",100 N MALCOLM X BLVD,9/16/2023 21:29,AP WAS UNLAWFULLY CARRYING A PISTOL,WEAPON LAW VIOLATIONS,32.78425,-96.7821,"{""address"": ""100 N MALCOLM X BLVD"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",271,159,0.853767,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
166823-2023,32 - SUSPICIOUS PERSON,POSS MARIJUANA <2OZ,Apartment Complex/Building,2752 GASTON AVE,9/16/2023 5:13,SUSP WAS IN POSSESSION OF MARIJUANA,DRUG/ NARCOTIC VIOLATIONS,32.78612,-96.7855,"{""address"": ""2752 GASTON AVE"", ""city"": ""DALLAS"", ""state"": ""TX"", ""zip"": ""75226""}",331,159,0.496319,67964745,FOR_SALE,Condo for sale,268000,894,300,268300,300,2134,1.495,acres,1,1,"2502 Live Oak St APT 318, Dallas, TX 75204",2502 Live Oak St APT 318,Dallas,TX,75204,32.7869,-96.7907,FALSE,https://photos.zillowstatic.com/fp/cb17dbcdc8095ef460c15724c819d6a9-p_e.jpg,https://www.zillow.com/homedetails/2502-Live-Oak-St-APT-318-Dallas-TX-75204/67964745_zpid/,https://www.zillow.com/dallas-tx/5_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A5%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-97.42356492285157%2C%22east%22%3A-96.13129807714844%2C%22south%22%3A32.35102652872397%2C%22north%22%3A33.2823871013217%7D%2C%22usersSearchTerm%22%3A%22Dallas%2C%20TX%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A38128%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%7D,6,299.78
